"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 29 12:15:44 GMT 2023","Sat Jul 29 12:15:45 GMT 2023","1609","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatCheckedValueInSelectedResultList","Проверить, что выбранное значение отображается в списке результатов [7] General",""
"passed","Sat Jul 29 12:16:54 GMT 2023","Sat Jul 29 12:16:54 GMT 2023","33","","practiceWithFiles.FileParsingTest","","practiceWithFiles.FileParsingTest","csvFileTest","csvFileTest()",""
"failed","Sat Jul 29 12:16:35 GMT 2023","Sat Jul 29 12:16:39 GMT 2023","4803","","junit.SimpleJUnitTest","","junit.SimpleJUnitTest","testThatGoogleGetCorrectSearchResult","testThatGoogleGetCorrectSearchResult(String, String) Проверить, что Google выдает корректный результат поиска https://docs.qameta.io по значению поиска Allure",""
"passed","Sat Jul 29 12:15:48 GMT 2023","Sat Jul 29 12:15:50 GMT 2023","1414","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatCheckedValueInSelectedResultList","Проверить, что выбранное значение отображается в списке результатов [9] Downloads",""
"passed","Sat Jul 29 12:16:17 GMT 2023","Sat Jul 29 12:16:19 GMT 2023","1922","","junit.SelenideTest","","junit.SelenideTest","selenideSiteShouldHaveAllButtonsGivenLocale","selenideSiteShouldHaveAllButtonsGivenLocale(Locale, List) Для локали EN, отображаются кнопки [Quick start, Docs, FAQ, Blog, Javadoc, Users, Quotes]",""
"passed","Sat Jul 29 12:16:05 GMT 2023","Sat Jul 29 12:16:05 GMT 2023","698","","demoqa.TextBoxTest","","demoqa.TextBoxTest","testDinamicAllureAnnotation","Тест, демонстрирующий работу Allure без аннотаций","Данный тест не содержит шагов, только  Allure описание "
"passed","Sat Jul 29 12:17:13 GMT 2023","Sat Jul 29 12:17:16 GMT 2023","3206","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","pdfResourceFileTest","pdfResourceFileTest()",""
"failed","Sat Jul 29 12:16:20 GMT 2023","Sat Jul 29 12:16:25 GMT 2023","5007","","junit.SimpleJUnitTest","","junit.SimpleJUnitTest","testThatGoogleGetCorrectSearchResult","testThatGoogleGetCorrectSearchResult(String) Проверить, что Google выдает результат поиска по значению поиска Allure",""
"passed","Sat Jul 29 12:17:17 GMT 2023","Sat Jul 29 12:17:20 GMT 2023","2200","","practiceWithSelenoid.TextBoxTest","","practiceWithSelenoid.TextBoxTest","testThatTextBoxSubmitSuccess","Заполнение формы /text-box корректными данными",""
"passed","Sat Jul 29 12:16:15 GMT 2023","Sat Jul 29 12:16:17 GMT 2023","2258","","github.SolutionPageOpenSuccess","","github.SolutionPageOpenSuccess","testThatSolutionPageOpenSuccess","testThatSolutionPageOpenSuccess()",""
"passed","Sat Jul 29 12:16:54 GMT 2023","Sat Jul 29 12:16:54 GMT 2023","0","","junit.miniJUnit.DemoTest","","junit.miniJUnit.DemoTest","firstTest","firstTest()",""
"passed","Sat Jul 29 12:16:54 GMT 2023","Sat Jul 29 12:16:54 GMT 2023","2","","junit.miniJUnit.ParametrizedTest","","junit.miniJUnit.ParametrizedTest","stringParametrizedTest","stringParametrizedTest(String) [4] Google",""
"passed","Sat Jul 29 12:15:45 GMT 2023","Sat Jul 29 12:15:48 GMT 2023","2717","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatCheckedValueInSelectedResultList","Проверить, что выбранное значение отображается в списке результатов [8] Home",""
"passed","Sat Jul 29 12:16:20 GMT 2023","Sat Jul 29 12:16:20 GMT 2023","1","","junit.SimpleJUnitTest","","junit.SimpleJUnitTest","simpleTest","Демонстрационный тест",""
"passed","Sat Jul 29 12:15:38 GMT 2023","Sat Jul 29 12:15:40 GMT 2023","1304","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatCheckedValueInSelectedResultList","Проверить, что выбранное значение отображается в списке результатов [3] Veu",""
"passed","Sat Jul 29 12:16:54 GMT 2023","Sat Jul 29 12:16:54 GMT 2023","13","","practiceWithFiles.FileParsingTest","","practiceWithFiles.FileParsingTest","jsonFileImprovedTest","jsonFileImprovedTest()",""
"passed","Sat Jul 29 12:15:25 GMT 2023","Sat Jul 29 12:15:32 GMT 2023","6771","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatIfCheckedAllFilesThenFolderAlsoChecked","Проверить, что если выбраны все файлы/папки внутри директории, то чекбокс директории также выбран [1] WorkSpace, [React, Angular, Veu]",""
"failed","Sat Jul 29 12:16:54 GMT 2023","Sat Jul 29 12:16:54 GMT 2023","1","","junit.miniJUnit.ParametrizedTest","","junit.miniJUnit.ParametrizedTest","intParametrizedTest","intParametrizedTest(int) [6] 2",""
"passed","Sat Jul 29 12:15:56 GMT 2023","Sat Jul 29 12:15:57 GMT 2023","1250","","demoqa.ParametrizedLoginFormTest","","demoqa.ParametrizedLoginFormTest","testThatEmptyFieldIsAlarm","Проверить, что регистрация не осуществляется если не заполнен логин/пароль [3] null, null",""
"broken","Sat Jul 29 12:17:13 GMT 2023","Sat Jul 29 12:17:13 GMT 2023","2","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","","practiceWithFiles.filesPracticeHomeWork.getFilesTest","testFilesFromZip","testFilesFromZip()",""
"failed","Sat Jul 29 12:16:54 GMT 2023","Sat Jul 29 12:16:54 GMT 2023","1","","junit.miniJUnit.ParametrizedTest","","junit.miniJUnit.ParametrizedTest","stringParametrizedTest","stringParametrizedTest(String) [3] Habr",""
"passed","Sat Jul 29 12:15:40 GMT 2023","Sat Jul 29 12:15:41 GMT 2023","1321","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatCheckedValueInSelectedResultList","Проверить, что выбранное значение отображается в списке результатов [4] Public",""
"passed","Sat Jul 29 12:15:59 GMT 2023","Sat Jul 29 12:16:01 GMT 2023","1818","","demoqa.ParametrizedLoginFormTest","","demoqa.ParametrizedLoginFormTest","testThatNotLoginIfIncorrectData","Проверить, что регистрация не осуществляется с некорректным логином / паролем [2] incorrectUserName, correctPass",""
"passed","Sat Jul 29 12:16:54 GMT 2023","Sat Jul 29 12:16:54 GMT 2023","1","","junit.miniJUnit.ParametrizedTest","","junit.miniJUnit.ParametrizedTest","stringParametrizedTest","stringParametrizedTest(String) [2] Google",""
"passed","Sat Jul 29 12:16:54 GMT 2023","Sat Jul 29 12:16:54 GMT 2023","5","","junit.miniJUnit.ParametrizedTest","","junit.miniJUnit.ParametrizedTest","intParametrizedTest","intParametrizedTest(int) [2] 8",""
"passed","Sat Jul 29 12:15:50 GMT 2023","Sat Jul 29 12:15:51 GMT 2023","1688","","demoqa.CheckBoxesTest","","demoqa.CheckBoxesTest","testThatIfCheckedFolderThenFilesInAlsoChecked","Проверить, что если выбран чекбокс директории, то файлы и папки внутри тоже выбраны [1] WorkSpace, [React, Angular, Veu]",""
"passed","Sat Jul 29 12:15:55 GMT 2023","Sat Jul 29 12:15:56 GMT 2023","1198","","demoqa.ParametrizedLoginFormTest","","demoqa.ParametrizedLoginFormTest","testThatEmptyFieldIsAlarm","Проверить, что регистрация не осуществляется если не заполнен логин/пароль [2] correctUserName, null",""
"failed","Sat Jul 29 12:16:54 GMT 2023","Sat Jul 29 12:16:54 GMT 2023","5","","junit.miniJUnit.DemoTest","","junit.miniJUnit.DemoTest","secondTest","secondTest()",""
"passed","Sat Jul 29 12:16:17 GMT 2023","Sat Jul 29 12:16:17 GMT 2023","10","","junit.FixtureAnnotationsTest","","junit.FixtureAnnotationsTest","secondJUnitTest","secondJUnitTest()",""
"passed","Sat Jul 29 12:15:57 GMT 2023","Sat Jul 29 12:15:59 GMT 2023","1814","","demoqa.ParametrizedLoginFormTest","","demoqa.ParametrizedLoginFormTest","testThatNotLoginIfIncorrectData","Проверить, что регистрация не осуществляется с некорректным логином / паролем [1] correctUserName, incorrectPass",""
"passed","Sat Jul 29 12:17:20 GMT 2023","Sat Jul 29 12:17:22 GMT 2023","2583","","threadQA.TextBoxTest","","threadQA.TextBoxTest","testThatTextBoxSubmitSuccess","testThatTextBoxSubmitSuccess()",""
